#FORMAT=WebAnno TSV 3.3


#Text=Seven unknown men armed with guns invaded the Terra Prometida camp, in Felisburgo
#Text=city, Minas Gerais, Brazil, and killed five members of the
#Text=Brazilian Landless Workers Movement movement (MST).
1-1	0-5	Seven	
11-6	1075-1089	redistribution	
11-7	1090-1092	of	
11-8	1093-1102	Brazilian	
11-9	1103-1111	farmland	
11-10	1111-1112	.	

#Text=According to MST, in
#Text=2003 there were about 632 MST camps in Brazil.
12-1	1113-1122	According	
12-2	1123-1125	to	
12-3	1126-1129	MST	
12-4	1129-1130	,	
12-5	1131-1133	in	
12-6	1134-1138	2003	
12-7	1139-1144	there	
12-8	1145-1149	were	
12-9	1150-1155	about	
12-10	1156-1159	632	
12-11	1160-1163	MST	
12-12	1164-1169	camps	
12-13	1170-1172	in	
12-14	1173-1179	Brazil	
12-15	1179-1180	.	

#Text=MST is a large organization with many bases throughout
#Text=Brazilian cities.
13-1	1181-1184	MST	
13-2	1185-1187	is	
13-3	1188-1189	a	
13-4	1190-1195	large	
13-5	1196-1208	organization	
13-6	1209-1213	with	
13-7	1214-1218	many	
13-8	1219-1224	bases	
13-9	1225-1235	throughout	
13-10	1236-1245	Brazilian	
13-11	1246-1252	cities	
13-12	1252-1253	.	

#Text=Their most visible tactic has been the occupation of mostly
#Text=privately-held plantations and landholdings, sometimes armed with carving knifes
#Text=and scythes.
14-1	1254-1259	Their	
14-2	1260-1264	most	
14-3	1265-1272	visible	
14-4	1273-1279	tactic	
14-5	1280-1283	has	
14-6	1284-1288	been	
14-7	1289-1292	the	
14-8	1293-1303	occupation	
14-9	1304-1306	of	
14-10	1307-1313	mostly	
14-11	1314-1328	privately-held	
14-12	1329-1340	plantations	
14-13	1341-1344	and	
14-14	1345-1357	landholdings	
14-15	1357-1358	,	
14-16	1359-1368	sometimes	
14-17	1369-1374	armed	
14-18	1375-1379	with	
14-19	1380-1387	carving	
14-20	1388-1394	knifes	
14-21	1395-1398	and	
14-22	1399-1406	scythes	
14-23	1406-1407	.	

#Text=Currently, MST receives help from the Brazilian government and donations from
#Text=international organizations.
15-1	1409-1418	Currently	
15-2	1418-1419	,	
15-3	1420-1423	MST	
15-4	1424-1432	receives	
15-5	1433-1437	help	
15-6	1438-1442	from	
15-7	1443-1446	the	
15-8	1447-1456	Brazilian	
15-9	1457-1467	government	
15-10	1468-1471	and	
15-11	1472-1481	donations	
15-12	1482-1486	from	
15-13	1487-1500	international	
15-14	1501-1514	organizations	
15-15	1514-1515	.	

#Text=The movement also receives funds by selling
#Text= videos of their invasions.
16-1	1516-1519	The	
16-2	1520-1528	movement	
16-3	1529-1533	also	
16-4	1534-1542	receives	
16-5	1543-1548	funds	
16-6	1549-1551	by	
16-7	1552-1559	selling	
16-8	1561-1567	videos	
16-9	1568-1570	of	
16-10	1571-1576	their	
16-11	1577-1586	invasions	
16-12	1586-1587	.	

#Text=Overall, a recent report on labor standards in Brazil has shown that conditions
#Text=for laborers are poor
#Text=.
17-1	1589-1596	Overall	
17-2	1596-1597	,	
17-3	1598-1599	a	
17-4	1600-1606	recent	
17-5	1607-1613	report	
17-6	1614-1616	on	
17-7	1617-1622	labor	
17-8	1623-1632	standards	
17-9	1633-1635	in	
17-10	1636-1642	Brazil	
17-11	1643-1646	has	
17-12	1647-1652	shown	
17-13	1653-1657	that	
17-14	1658-1668	conditions	
17-15	1669-1672	for	
17-16	1673-1681	laborers	
17-17	1682-1685	are	
17-18	1686-1690	poor	
17-19	1691-1692	.	
