#FORMAT=WebAnno TSV 3.3


#Text=Under a draft plan of the Australian Federal Government's "mutual obligation" agreements, members of the Aboriginal community Mulan in Western Australia will be obliged to ensure that homes and yards are clean, students attend school, rubbish bins are emptied twice a week and that children undertake frequent facewashing.
1-1	0-5	Under	
3-30	805-810	clear	
3-31	811-815	that	
3-32	816-819	the	
3-33	820-832	face-washing	
3-34	833-840	program	
3-35	841-843	at	
3-36	844-847	the	
3-37	848-853	Mulan	
3-38	854-862	Catholic	
3-39	863-869	school	
3-40	870-873	was	
3-41	874-880	having	
3-42	881-882	a	
3-43	883-891	positive	
3-44	892-898	effect	
3-45	898-899	.	

#Text=The program, which has been running for eighteen months, has reduced the levels of trachoma among students from 80% to 16%.
4-1	900-903	The	
4-2	904-911	program	
4-3	911-912	,	
4-4	913-918	which	
4-5	919-922	has	
4-6	923-927	been	
4-7	928-935	running	
4-8	936-939	for	
4-9	940-948	eighteen	
4-10	949-955	months	
4-11	955-956	,	
4-12	957-960	has	
4-13	961-968	reduced	
4-14	969-972	the	
4-15	973-979	levels	
4-16	980-982	of	
4-17	983-991	trachoma	
4-18	992-997	among	
4-19	998-1006	students	
4-20	1007-1011	from	
4-21	1012-1015	80%	
4-22	1016-1018	to	
4-23	1019-1022	16%	
4-24	1022-1023	.	

#Text=Presently, the residents of Mulan must drive 44km to the nearby community of Balgo for fuel.
5-1	1027-1036	Presently	
5-2	1036-1037	,	
5-3	1038-1041	the	
5-4	1042-1051	residents	
5-5	1052-1054	of	
5-6	1055-1060	Mulan	
5-7	1061-1065	must	
5-8	1066-1071	drive	
5-9	1072-1076	44km	
5-10	1077-1079	to	
5-11	1080-1083	the	
5-12	1084-1090	nearby	
5-13	1091-1100	community	
5-14	1101-1103	of	
5-15	1104-1109	Balgo	
5-16	1110-1113	for	
5-17	1114-1118	fuel	
5-18	1118-1119	.	

#Text=Acting race discrimination commissioner, Tom Calma, has approved the deal, despite concerns from members of the Mulan community.
6-1	1123-1129	Acting	
6-2	1130-1134	race	
6-3	1135-1149	discrimination	
6-4	1150-1162	commissioner	
6-5	1162-1163	,	
6-6	1164-1167	Tom	
6-7	1168-1173	Calma	
6-8	1173-1174	,	
6-9	1175-1178	has	
6-10	1179-1187	approved	
6-11	1188-1191	the	
6-12	1192-1196	deal	
6-13	1196-1197	,	
6-14	1198-1205	despite	
6-15	1206-1214	concerns	
6-16	1215-1219	from	
6-17	1220-1227	members	
6-18	1228-1230	of	
6-19	1231-1234	the	
6-20	1235-1240	Mulan	
6-21	1241-1250	community	
6-22	1250-1251	.	

#Text=Aboriginal lawyer and land rights activist Michael Mansell claimed that placing conditions on funding is unlawful and unenforceable.
7-1	1252-1262	Aboriginal	
7-2	1263-1269	lawyer	
7-3	1270-1273	and	
7-4	1274-1278	land	
7-5	1279-1285	rights	
7-6	1286-1294	activist	
7-7	1295-1302	Michael	
7-8	1303-1310	Mansell	
7-9	1311-1318	claimed	
7-10	1319-1323	that	
7-11	1324-1331	placing	
7-12	1332-1342	conditions	
7-13	1343-1345	on	
7-14	1346-1353	funding	
7-15	1354-1356	is	
7-16	1357-1365	unlawful	
7-17	1366-1369	and	
7-18	1370-1383	unenforceable	
7-19	1383-1384	.	

#Text=The government proposal has been widely labelled as 'humiliating' to the community.
8-1	1385-1388	The	
8-2	1389-1399	government	
8-3	1400-1408	proposal	
8-4	1409-1412	has	
8-5	1413-1417	been	
8-6	1418-1424	widely	
8-7	1425-1433	labelled	
8-8	1434-1436	as	
8-9	1437-1438	'	
8-10	1438-1449	humiliating	
8-11	1449-1450	'	
8-12	1451-1453	to	
8-13	1454-1457	the	
8-14	1458-1467	community	
8-15	1467-1468	.	
