#FORMAT=WebAnno TSV 3.3


#Text=Hopes were rising that the impasse in the Good Friday Agreement could be broken with high level talks in Downing Street between the British Prime Minister Tony Blair and the Democratic Unionist leader Ian Paisley.
1-1	0-5	Hopes	
7-15	1129-1138	timetable	
7-16	1139-1142	for	
7-17	1143-1146	the	
7-18	1147-1154	removal	
7-19	1155-1157	of	
7-20	1158-1165	British	
7-21	1166-1170	Army	
7-22	1171-1176	bases	
7-23	1177-1179	in	
7-24	1180-1190	Republican	
7-25	1191-1198	leaning	
7-26	1199-1204	areas	
7-27	1205-1207	of	
7-28	1208-1216	Northern	
7-29	1217-1224	Ireland	
7-30	1225-1226	(	
7-31	1226-1230	such	
7-32	1231-1233	as	
7-33	1234-1239	South	
7-34	1240-1246	Armagh	
7-35	1246-1247	)	
7-36	1247-1248	,	
7-37	1249-1254	which	
7-38	1255-1258	are	
7-39	1259-1263	much	
7-40	1264-1272	resented	
7-41	1273-1275	by	
7-42	1276-1280	some	
7-43	1281-1286	local	
7-44	1287-1298	inhabitants	
7-45	1298-1299	.	

#Text=If the current deadlock were broken, it would mean the reconvening of the Northern Ireland Assembly, which was shut down in 2002 amidst accusations of spying by both Republicans and Unionists.
8-1	1301-1303	If	
8-2	1304-1307	the	
8-3	1308-1315	current	
8-4	1316-1324	deadlock	
8-5	1325-1329	were	
8-6	1330-1336	broken	
8-7	1336-1337	,	
8-8	1338-1340	it	
8-9	1341-1346	would	
8-10	1347-1351	mean	
8-11	1352-1355	the	
8-12	1356-1367	reconvening	
8-13	1368-1370	of	
8-14	1371-1374	the	
8-15	1375-1383	Northern	
8-16	1384-1391	Ireland	
8-17	1392-1400	Assembly	
8-18	1400-1401	,	
8-19	1402-1407	which	
8-20	1408-1411	was	
8-21	1412-1416	shut	
8-22	1417-1421	down	
8-23	1422-1424	in	
8-24	1425-1429	2002	
8-25	1430-1436	amidst	
8-26	1437-1448	accusations	
8-27	1449-1451	of	
8-28	1452-1458	spying	
8-29	1459-1461	by	
8-30	1462-1466	both	
8-31	1467-1478	Republicans	
8-32	1479-1482	and	
8-33	1483-1492	Unionists	
8-34	1492-1493	.	
