#FORMAT=WebAnno TSV 3.3


#Text=Reuters has reported that Philip Knight, co-founder of shoe giant Nike, Inc. will step down as the company's CEO and President on December 28.
1-1	0-7	Reuters	
#Text=For example, the progressive anti-consumerism magazine Adbusters recently introduced their "Black-Spot Sneaker" which they promote as being "for just one thing: kicking Phil Knight's ass".
7-1	666-669	For	
7-2	670-677	example	
7-3	677-678	,	
7-4	679-682	the	
7-5	683-694	progressive	
7-6	695-711	anti-consumerism	
7-7	712-720	magazine	
7-8	721-730	Adbusters	
7-9	731-739	recently	
7-10	740-750	introduced	
7-11	751-756	their	
7-12	757-758	"	
7-13	758-768	Black-Spot	
7-14	769-776	Sneaker	
7-15	776-777	"	
7-16	778-783	which	
7-17	784-788	they	
7-18	789-796	promote	
7-19	797-799	as	
7-20	800-805	being	
7-21	806-807	"	
7-22	807-810	for	
7-23	811-815	just	
7-24	816-819	one	
7-25	820-825	thing	
7-26	825-826	:	
7-27	827-834	kicking	
7-28	835-839	Phil	
7-29	840-848	Knight's	
7-30	849-852	ass	
7-31	852-853	"	
7-32	853-854	.	

#Text=Nike spokesman Kirk Stewart said Perez was chosen for his experience in dealing with international markets and brand-building, an important skill as Nike continues expansion internationally.
8-1	856-860	Nike	
8-2	861-870	spokesman	
8-3	871-875	Kirk	
8-4	876-883	Stewart	
8-5	884-888	said	
8-6	889-894	Perez	
8-7	895-898	was	
8-8	899-905	chosen	
8-9	906-909	for	
8-10	910-913	his	
8-11	914-924	experience	
8-12	925-927	in	
8-13	928-935	dealing	
8-14	936-940	with	
8-15	941-954	international	
8-16	955-962	markets	
8-17	963-966	and	
8-18	967-981	brand-building	
8-19	981-982	,	
8-20	983-985	an	
8-21	986-995	important	
8-22	996-1001	skill	
8-23	1002-1004	as	
8-24	1005-1009	Nike	
8-25	1010-1019	continues	
8-26	1020-1029	expansion	
8-27	1030-1045	internationally	
8-28	1045-1046	.	

#Text=Nike's international sales now surpass domestic sales, reports Bloomberg.
9-1	1047-1053	Nike's	
9-2	1054-1067	international	
9-3	1068-1073	sales	
9-4	1074-1077	now	
9-5	1078-1085	surpass	
9-6	1086-1094	domestic	
9-7	1095-1100	sales	
9-8	1100-1101	,	
9-9	1102-1109	reports	
9-10	1110-1119	Bloomberg	
9-11	1119-1120	.	

#Text=According to ESPN, Knight was responsible for Nike's endorsement contract with Michael Jordan, signed in 1984 when he was still a rookie with the Chicago Bulls.
10-1	1122-1131	According	
10-2	1132-1134	to	
10-3	1135-1139	ESPN	
10-4	1139-1140	,	
10-5	1141-1147	Knight	
10-6	1148-1151	was	
10-7	1152-1163	responsible	
10-8	1164-1167	for	
10-9	1168-1174	Nike's	
10-10	1175-1186	endorsement	
10-11	1187-1195	contract	
10-12	1196-1200	with	
10-13	1201-1208	Michael	
10-14	1209-1215	Jordan	
10-15	1215-1216	,	
10-16	1217-1223	signed	
10-17	1224-1226	in	
10-18	1227-1231	1984	
10-19	1232-1236	when	
10-20	1237-1239	he	
10-21	1240-1243	was	
10-22	1244-1249	still	
10-23	1250-1251	a	
10-24	1252-1258	rookie	
10-25	1259-1263	with	
10-26	1264-1267	the	
10-27	1268-1275	Chicago	
10-28	1276-1281	Bulls	
10-29	1281-1282	.	

#Text=Jordan said of Knight, "To me, Phil Knight will always be recognized as a sports marketing visionary -- he will always be a part of Nike.
11-1	1283-1289	Jordan	
11-2	1290-1294	said	
11-3	1295-1297	of	
11-4	1298-1304	Knight	
11-5	1304-1305	,	
11-6	1306-1307	"	
11-7	1307-1309	To	
11-8	1310-1312	me	
11-9	1312-1313	,	
11-10	1314-1318	Phil	
11-11	1319-1325	Knight	
11-12	1326-1330	will	
11-13	1331-1337	always	
11-14	1338-1340	be	
11-15	1341-1351	recognized	
11-16	1352-1354	as	
11-17	1355-1356	a	
11-18	1357-1363	sports	
11-19	1364-1373	marketing	
11-20	1374-1383	visionary	
11-21	1384-1385	-	
11-22	1385-1386	-	
11-23	1387-1389	he	
11-24	1390-1394	will	
11-25	1395-1401	always	
11-26	1402-1404	be	
11-27	1405-1406	a	
11-28	1407-1411	part	
11-29	1412-1414	of	
11-30	1415-1419	Nike	
11-31	1419-1420	.	

#Text=I learned so much about the industry from him and will always admire his drive and creativity."
12-1	1421-1422	I	
12-2	1423-1430	learned	
12-3	1431-1433	so	
12-4	1434-1438	much	
12-5	1439-1444	about	
12-6	1445-1448	the	
12-7	1449-1457	industry	
12-8	1458-1462	from	
12-9	1463-1466	him	
12-10	1467-1470	and	
12-11	1471-1475	will	
12-12	1476-1482	always	
12-13	1483-1489	admire	
12-14	1490-1493	his	
12-15	1494-1499	drive	
12-16	1500-1503	and	
12-17	1504-1514	creativity	
12-18	1514-1515	.	
12-19	1515-1516	"	

#Text=Knight, who according to Forbes gave no reason for his departure, intends to retain his position as the chairman of Nike's board of directors.
13-1	1518-1524	Knight	
13-2	1524-1525	,	
13-3	1526-1529	who	
13-4	1530-1539	according	
13-5	1540-1542	to	
13-6	1543-1549	Forbes	
13-7	1550-1554	gave	
13-8	1555-1557	no	
13-9	1558-1564	reason	
13-10	1565-1568	for	
13-11	1569-1572	his	
13-12	1573-1582	departure	
13-13	1582-1583	,	
13-14	1584-1591	intends	
13-15	1592-1594	to	
13-16	1595-1601	retain	
13-17	1602-1605	his	
13-18	1606-1614	position	
13-19	1615-1617	as	
13-20	1618-1621	the	
13-21	1622-1630	chairman	
13-22	1631-1633	of	
13-23	1634-1640	Nike's	
13-24	1641-1646	board	
13-25	1647-1649	of	
13-26	1650-1659	directors	
13-27	1659-1660	.	

#Text=He will also hold on to his 28% voting share in the corporation, as well as his 92% share of the non-voting stock.
14-1	1661-1663	He	
14-2	1664-1668	will	
14-3	1669-1673	also	
14-4	1674-1678	hold	
14-5	1679-1681	on	
14-6	1682-1684	to	
14-7	1685-1688	his	
14-8	1689-1692	28%	
14-9	1693-1699	voting	
14-10	1700-1705	share	
14-11	1706-1708	in	
14-12	1709-1712	the	
14-13	1713-1724	corporation	
14-14	1724-1725	,	
14-15	1726-1728	as	
14-16	1729-1733	well	
14-17	1734-1736	as	
14-18	1737-1740	his	
14-19	1741-1744	92%	
14-20	1745-1750	share	
14-21	1751-1753	of	
14-22	1754-1757	the	
14-23	1758-1768	non-voting	
14-24	1769-1774	stock	
14-25	1774-1775	.	
