#FORMAT=WebAnno TSV 3.3


#Text=Internet portal and mail-provider Lycos Europe has launched a program to increase spammers' bills by having thousands of voluntary users' computers repeatedly query websites from which spam originates.
1-1	0-8	Internet	
#Text=In such an attack, computers overwhelm a webserver with requests for data to the point where it does not have the resources to fulfill its normal function.
13-1	1299-1301	In	
13-2	1302-1306	such	
13-3	1307-1309	an	
13-4	1310-1316	attack	
13-5	1316-1317	,	
13-6	1318-1327	computers	
13-7	1328-1337	overwhelm	
13-8	1338-1339	a	
13-9	1340-1349	webserver	
13-10	1350-1354	with	
13-11	1355-1363	requests	
13-12	1364-1367	for	
13-13	1368-1372	data	
13-14	1373-1375	to	
13-15	1376-1379	the	
13-16	1380-1385	point	
13-17	1386-1391	where	
13-18	1392-1394	it	
13-19	1395-1399	does	
13-20	1400-1403	not	
13-21	1404-1408	have	
13-22	1409-1412	the	
13-23	1413-1422	resources	
13-24	1423-1425	to	
13-25	1426-1433	fulfill	
13-26	1434-1437	its	
13-27	1438-1444	normal	
13-28	1445-1453	function	
13-29	1453-1454	.	

#Text=Lycos, in explanatory material on the screensaver's dedicated website ( http://makelovenotspam.com ), claims that its technology closely monitors the screensavers' effects on targeted websites and prevents any of them from being completely shut down by information requests.
14-1	1455-1460	Lycos	
14-2	1460-1461	,	
14-3	1462-1464	in	
14-4	1465-1476	explanatory	
14-5	1477-1485	material	
14-6	1486-1488	on	
14-7	1489-1492	the	
14-8	1493-1506	screensaver's	
14-9	1507-1516	dedicated	
14-10	1517-1524	website	
14-11	1525-1526	(	
14-12	1527-1531	http	
14-13	1531-1532	:	
14-14	1532-1533	/	
14-15	1533-1534	/	
14-16	1534-1553	makelovenotspam.com	
14-17	1554-1555	)	
14-18	1555-1556	,	
14-19	1557-1563	claims	
14-20	1564-1568	that	
14-21	1569-1572	its	
14-22	1573-1583	technology	
14-23	1584-1591	closely	
14-24	1592-1600	monitors	
14-25	1601-1604	the	
14-26	1605-1617	screensavers	
14-27	1617-1618	'	
14-28	1619-1626	effects	
14-29	1627-1629	on	
14-30	1630-1638	targeted	
14-31	1639-1647	websites	
14-32	1648-1651	and	
14-33	1652-1660	prevents	
14-34	1661-1664	any	
14-35	1665-1667	of	
14-36	1668-1672	them	
14-37	1673-1677	from	
14-38	1678-1683	being	
14-39	1684-1694	completely	
14-40	1695-1699	shut	
14-41	1700-1704	down	
14-42	1705-1707	by	
14-43	1708-1719	information	
14-44	1720-1728	requests	
14-45	1728-1729	.	

#Text=Lycos Europe operates in Germany where, according to Joerg Heidrich of Heise Zeitschriften Verlag, less than completely shutting down a server is not clearly illegal under the penal code.
15-1	1731-1736	Lycos	
15-2	1737-1743	Europe	
15-3	1744-1752	operates	
15-4	1753-1755	in	
15-5	1756-1763	Germany	
15-6	1764-1769	where	
15-7	1769-1770	,	
15-8	1771-1780	according	
15-9	1781-1783	to	
15-10	1784-1789	Joerg	
15-11	1790-1798	Heidrich	
15-12	1799-1801	of	
15-13	1802-1807	Heise	
15-14	1808-1821	Zeitschriften	
15-15	1822-1828	Verlag	
15-16	1828-1829	,	
15-17	1830-1834	less	
15-18	1835-1839	than	
15-19	1840-1850	completely	
15-20	1851-1859	shutting	
15-21	1860-1864	down	
15-22	1865-1866	a	
15-23	1867-1873	server	
15-24	1874-1876	is	
15-25	1877-1880	not	
15-26	1881-1888	clearly	
15-27	1889-1896	illegal	
15-28	1897-1902	under	
15-29	1903-1906	the	
15-30	1907-1912	penal	
15-31	1913-1917	code	
15-32	1917-1918	.	

#Text=It may, however, be actionable under the civil code.
16-1	1919-1921	It	
16-2	1922-1925	may	
16-3	1925-1926	,	
16-4	1927-1934	however	
16-5	1934-1935	,	
16-6	1936-1938	be	
16-7	1939-1949	actionable	
16-8	1950-1955	under	
16-9	1956-1959	the	
16-10	1960-1965	civil	
16-11	1966-1970	code	
16-12	1970-1971	.	

#Text=But Lycos may be betting that no one will file a suit, as that would require those participating in illegal spamming to reveal their identity.
17-1	1972-1975	But	
17-2	1976-1981	Lycos	
17-3	1982-1985	may	
17-4	1986-1988	be	
17-5	1989-1996	betting	
17-6	1997-2001	that	
17-7	2002-2004	no	
17-8	2005-2008	one	
17-9	2009-2013	will	
17-10	2014-2018	file	
17-11	2019-2020	a	
17-12	2021-2025	suit	
17-13	2025-2026	,	
17-14	2027-2029	as	
17-15	2030-2034	that	
17-16	2035-2040	would	
17-17	2041-2048	require	
17-18	2049-2054	those	
17-19	2055-2068	participating	
17-20	2069-2071	in	
17-21	2072-2079	illegal	
17-22	2080-2088	spamming	
17-23	2089-2091	to	
17-24	2092-2098	reveal	
17-25	2099-2104	their	
17-26	2105-2113	identity	
17-27	2113-2114	.	

#Text=The website no longer allows downloads of the screensaver, and users of the screensaver cannot connect to spam sites, but are instead given the message 'Stay Tuned'
18-1	2116-2119	The	
18-2	2120-2127	website	
18-3	2128-2130	no	
18-4	2131-2137	longer	
18-5	2138-2144	allows	
18-6	2145-2154	downloads	
18-7	2155-2157	of	
18-8	2158-2161	the	
18-9	2162-2173	screensaver	
18-10	2173-2174	,	
18-11	2175-2178	and	
18-12	2179-2184	users	
18-13	2185-2187	of	
18-14	2188-2191	the	
18-15	2192-2203	screensaver	
18-16	2204-2210	cannot	
18-17	2211-2218	connect	
18-18	2219-2221	to	
18-19	2222-2226	spam	
18-20	2227-2232	sites	
18-21	2232-2233	,	
18-22	2234-2237	but	
18-23	2238-2241	are	
18-24	2242-2249	instead	
18-25	2250-2255	given	
18-26	2256-2259	the	
18-27	2260-2267	message	
18-28	2268-2269	'	
18-29	2269-2273	Stay	
18-30	2274-2279	Tuned	
18-31	2279-2280	'	
