#FORMAT=WebAnno TSV 3.3


#Text=Acting president Rawhi Fattuh has announced today that Palestinian elections will be held on January 9.
1-1	0-6	Acting	
7-1	914-925	Nonetheless	
7-2	925-926	,	
7-3	927-929	he	
7-4	930-937	remains	
7-5	938-939	a	
7-6	940-947	popular	
7-7	948-954	figure	
7-8	955-960	among	
7-9	961-973	Palestinians	
7-10	974-977	for	
7-11	978-981	his	
7-12	982-986	role	
7-13	987-989	in	
7-14	990-993	the	
7-15	994-1005	Palestinian	
7-16	1006-1014	uprising	
7-17	1014-1015	,	
7-18	1016-1019	and	
7-19	1020-1025	could	
7-20	1026-1037	potentially	
7-21	1038-1041	win	
7-22	1042-1045	the	
7-23	1046-1054	election	
7-24	1055-1057	if	
7-25	1058-1060	he	
7-26	1061-1068	decided	
7-27	1069-1071	to	
7-28	1072-1075	run	
7-29	1075-1076	.	

#Text=A win by Barghouti could put Israel in an awkward spot; however an Israeli official said this week that he would not be freed, and a landslide win by Barghouti would signify to them that the Palestinians were not yet ready for peace.
8-1	1078-1079	A	
8-2	1080-1083	win	
8-3	1084-1086	by	
8-4	1087-1096	Barghouti	
8-5	1097-1102	could	
8-6	1103-1106	put	
8-7	1107-1113	Israel	
8-8	1114-1116	in	
8-9	1117-1119	an	
8-10	1120-1127	awkward	
8-11	1128-1132	spot	
8-12	1132-1133	;	
8-13	1134-1141	however	
8-14	1142-1144	an	
8-15	1145-1152	Israeli	
8-16	1153-1161	official	
8-17	1162-1166	said	
8-18	1167-1171	this	
8-19	1172-1176	week	
8-20	1177-1181	that	
8-21	1182-1184	he	
8-22	1185-1190	would	
8-23	1191-1194	not	
8-24	1195-1197	be	
8-25	1198-1203	freed	
8-26	1203-1204	,	
8-27	1205-1208	and	
8-28	1209-1210	a	
8-29	1211-1220	landslide	
8-30	1221-1224	win	
8-31	1225-1227	by	
8-32	1228-1237	Barghouti	
8-33	1238-1243	would	
8-34	1244-1251	signify	
8-35	1252-1254	to	
8-36	1255-1259	them	
8-37	1260-1264	that	
8-38	1265-1268	the	
8-39	1269-1281	Palestinians	
8-40	1282-1286	were	
8-41	1287-1290	not	
8-42	1291-1294	yet	
8-43	1295-1300	ready	
8-44	1301-1304	for	
8-45	1305-1310	peace	
8-46	1310-1311	.	
