#FORMAT=WebAnno TSV 3.3


#Text=After spending weeks going over written statements, TV video and even fan shot video, Oakland County Prosecutor David Gorcyca announced criminal charges against five Indiana Pacer players and seven fans stemming from the November 19th brawl at The Palace Of Auburn Hills.
1-1	0-5	After	
10-3	1050-1054	also	
10-4	1055-1060	faces	
10-5	1061-1062	a	
10-6	1063-1069	felony	
10-7	1070-1077	assault	
10-8	1078-1084	charge	
10-9	1085-1088	for	
10-10	1089-1097	throwing	
10-11	1098-1099	a	
10-12	1100-1105	chair	
10-13	1105-1106	.	

#Text=That is punishable by up to four years in jail, but Gorcyca said Jackson may serve more time based on his prior convictions.
11-1	1107-1111	That	
11-2	1112-1114	is	
11-3	1115-1125	punishable	
11-4	1126-1128	by	
11-5	1129-1131	up	
11-6	1132-1134	to	
11-7	1135-1139	four	
11-8	1140-1145	years	
11-9	1146-1148	in	
11-10	1149-1153	jail	
11-11	1153-1154	,	
11-12	1155-1158	but	
11-13	1159-1166	Gorcyca	
11-14	1167-1171	said	
11-15	1172-1179	Jackson	
11-16	1180-1183	may	
11-17	1184-1189	serve	
11-18	1190-1194	more	
11-19	1195-1199	time	
11-20	1200-1205	based	
11-21	1206-1208	on	
11-22	1209-1212	his	
11-23	1213-1218	prior	
11-24	1219-1230	convictions	
11-25	1230-1231	.	

#Text=Two other fans, Charlie Haddad and Alvin Shackleford, were also charged with a local ordinance that prevents fans from walking onto the floor.
12-1	1235-1238	Two	
12-2	1239-1244	other	
12-3	1245-1249	fans	
12-4	1249-1250	,	
12-5	1251-1258	Charlie	
12-6	1259-1265	Haddad	
12-7	1266-1269	and	
12-8	1270-1275	Alvin	
12-9	1276-1287	Shackleford	
12-10	1287-1288	,	
12-11	1289-1293	were	
12-12	1294-1298	also	
12-13	1299-1306	charged	
12-14	1307-1311	with	
12-15	1312-1313	a	
12-16	1314-1319	local	
12-17	1320-1329	ordinance	
12-18	1330-1334	that	
12-19	1335-1343	prevents	
12-20	1344-1348	fans	
12-21	1349-1353	from	
12-22	1354-1361	walking	
12-23	1362-1366	onto	
12-24	1367-1370	the	
12-25	1371-1376	floor	
12-26	1376-1377	.	

#Text=All seven fans have been banned from The Palace.
13-1	1378-1381	All	
13-2	1382-1387	seven	
13-3	1388-1392	fans	
13-4	1393-1397	have	
13-5	1398-1402	been	
13-6	1403-1409	banned	
13-7	1410-1414	from	
13-8	1415-1418	The	
13-9	1419-1425	Palace	
13-10	1425-1426	.	
