#FORMAT=WebAnno TSV 3.3


#Text=CAPE CANAVERAL, Florida - The first new heavy lift space vehicle in a generation is cleared to launch from Cape Canaveral Air Force Station.
1-1	0-4	CAPE	

#Text=The basic design is a two stage, cryogenic LOx/LH2 rocket.
5-1	492-495	The	
5-2	496-501	basic	
5-3	502-508	design	
5-4	509-511	is	
5-5	512-513	a	
5-6	514-517	two	
5-7	518-523	stage	
5-8	523-524	,	
5-9	525-534	cryogenic	
5-10	535-538	LOx	
5-11	538-539	/	
5-12	539-542	LH2	
5-13	543-549	rocket	
5-14	549-550	.	

#Text=Strap-on boosters may be added to increase lift capacity.
6-1	551-559	Strap-on	
6-2	560-568	boosters	
6-3	569-572	may	
6-4	573-575	be	
6-5	576-581	added	
6-6	582-584	to	
6-7	585-593	increase	
6-8	594-598	lift	
6-9	599-607	capacity	
6-10	607-608	.	

#Text=Two major obstacles have plagued the project in recent years; a bidding scandal which cost Boeing a large portion of the military satellite launch business for which it was competing, and a downturn in commercial satellite launches in 2001.
7-1	612-615	Two	
7-2	616-621	major	
7-3	622-631	obstacles	
7-4	632-636	have	
7-5	637-644	plagued	
7-6	645-648	the	
7-7	649-656	project	
7-8	657-659	in	
7-9	660-666	recent	
7-10	667-672	years	
7-11	672-673	;	
7-12	674-675	a	
7-13	676-683	bidding	
7-14	684-691	scandal	
7-15	692-697	which	
7-16	698-702	cost	
7-17	703-709	Boeing	
7-18	710-711	a	
7-19	712-717	large	
7-20	718-725	portion	
7-21	726-728	of	
7-22	729-732	the	
7-23	733-741	military	
7-24	742-751	satellite	
7-25	752-758	launch	
7-26	759-767	business	
7-27	768-771	for	
7-28	772-777	which	
7-29	778-780	it	
7-30	781-784	was	
7-31	785-794	competing	
7-32	794-795	,	
7-33	796-799	and	
7-34	800-801	a	
7-35	802-810	downturn	
7-36	811-813	in	
7-37	814-824	commercial	
7-38	825-834	satellite	
7-39	835-843	launches	
7-40	844-846	in	
7-41	847-851	2001	
7-42	851-852	.	

#Text=The Heavy variant of the Delta 4 rocket can place 13,100 kg (28,950 Lb) into geostationary transfer orbit, greater than any other current rocket.
8-1	856-859	The	
8-2	860-865	Heavy	
8-3	866-873	variant	
8-4	874-876	of	
8-5	877-880	the	
8-6	881-886	Delta	
8-7	887-888	4	
8-8	889-895	rocket	
8-9	896-899	can	
8-10	900-905	place	
8-11	906-912	13,100	
8-12	913-915	kg	
8-13	916-917	(	
8-14	917-923	28,950	
8-15	924-926	Lb	
8-16	926-927	)	
8-17	928-932	into	
8-18	933-946	geostationary	
8-19	947-955	transfer	
8-20	956-961	orbit	
8-21	961-962	,	
8-22	963-970	greater	
8-23	971-975	than	
8-24	976-979	any	
8-25	980-985	other	
8-26	986-993	current	
8-27	994-1000	rocket	
8-28	1000-1001	.	

#Text=Two additional first stage cores are used as strap-on boosters for this configuration.
9-1	1002-1005	Two	
9-2	1006-1016	additional	
9-3	1017-1022	first	
9-4	1023-1028	stage	
9-5	1029-1034	cores	
9-6	1035-1038	are	
9-7	1039-1043	used	
9-8	1044-1046	as	
9-9	1047-1055	strap-on	
9-10	1056-1064	boosters	
9-11	1065-1068	for	
9-12	1069-1073	this	
9-13	1074-1087	configuration	
9-14	1087-1088	.	

#Text=Their rated thrust is 2,900,000 N (656,000 lb) each.
10-1	1089-1094	Their	
10-2	1095-1100	rated	
10-3	1101-1107	thrust	
10-4	1108-1110	is	
10-5	1111-1120	2,900,000	
10-6	1121-1122	N	
10-7	1123-1124	(	
10-8	1124-1131	656,000	
10-9	1132-1134	lb	
10-10	1134-1135	)	
10-11	1136-1140	each	
10-12	1140-1141	.	

#Text=Delta 4's main engine, the RS68, is the most powerful hydrogen/liquid oxygen engine in the world, approximately three times as powerful as the Ariane 5 Vulcain HM60.
11-1	1145-1150	Delta	
11-2	1151-1152	4	
11-3	1152-1153	'	
11-4	1153-1154	s	
11-5	1155-1159	main	
11-6	1160-1166	engine	
11-7	1166-1167	,	
11-8	1168-1171	the	
11-9	1172-1176	RS68	
11-10	1176-1177	,	
11-11	1178-1180	is	
11-12	1181-1184	the	
11-13	1185-1189	most	
11-14	1190-1198	powerful	
11-15	1199-1207	hydrogen	
11-16	1207-1208	/	
11-17	1208-1214	liquid	
11-18	1215-1221	oxygen	
11-19	1222-1228	engine	
11-20	1229-1231	in	
11-21	1232-1235	the	
11-22	1236-1241	world	
11-23	1241-1242	,	
11-24	1243-1256	approximately	
11-25	1257-1262	three	
11-26	1263-1268	times	
11-27	1269-1271	as	
11-28	1272-1280	powerful	
11-29	1281-1283	as	
11-30	1284-1287	the	
11-31	1288-1294	Ariane	
11-32	1295-1296	5	
11-33	1297-1304	Vulcain	
11-34	1305-1309	HM60	
11-35	1309-1310	.	

#Text=Its design sacrifices efficiency for increased reliability and lower cost: rated specific impulse is 365s at sea level and 410s in a vacuum.
12-1	1311-1314	Its	
12-2	1315-1321	design	
12-3	1322-1332	sacrifices	
12-4	1333-1343	efficiency	
12-5	1344-1347	for	
12-6	1348-1357	increased	
12-7	1358-1369	reliability	
12-8	1370-1373	and	
12-9	1374-1379	lower	
12-10	1380-1384	cost	
12-11	1384-1385	:	
12-12	1386-1391	rated	
12-13	1392-1400	specific	
12-14	1401-1408	impulse	
12-15	1409-1411	is	
12-16	1412-1416	365s	
12-17	1417-1419	at	
12-18	1420-1423	sea	
12-19	1424-1429	level	
12-20	1430-1433	and	
12-21	1434-1438	410s	
12-22	1439-1441	in	
12-23	1442-1443	a	
12-24	1444-1450	vacuum	
12-25	1450-1451	.	

#Text=The second stage engine, Pratt and Whitney's RL-10B-2, has a specific impulse of 462s.
13-1	1452-1455	The	
13-2	1456-1462	second	
13-3	1463-1468	stage	
13-4	1469-1475	engine	
13-5	1475-1476	,	
13-6	1477-1482	Pratt	
13-7	1483-1486	and	
13-8	1487-1496	Whitney's	
13-9	1497-1499	RL	
13-10	1499-1500	-	
13-11	1500-1503	10B	
13-12	1503-1504	-	
13-13	1504-1505	2	
13-14	1505-1506	,	
13-15	1507-1510	has	
13-16	1511-1512	a	
13-17	1513-1521	specific	
13-18	1522-1529	impulse	
13-19	1530-1532	of	
13-20	1533-1537	462s	
13-21	1537-1538	.	

#Text=The primary market for this launcher will be classified spy satellites for the US intelligence community.
14-1	1542-1545	The	
14-2	1546-1553	primary	
14-3	1554-1560	market	
14-4	1561-1564	for	
14-5	1565-1569	this	
14-6	1570-1578	launcher	
14-7	1579-1583	will	
14-8	1584-1586	be	
14-9	1587-1597	classified	
14-10	1598-1601	spy	
14-11	1602-1612	satellites	
14-12	1613-1616	for	
14-13	1617-1620	the	
14-14	1621-1623	US	
14-15	1624-1636	intelligence	
14-16	1637-1646	community	
14-17	1646-1647	.	

#Text=Most of these satellites were previously launched on the Titan 4, which has since been retired.
15-1	1648-1652	Most	
15-2	1653-1655	of	
15-3	1656-1661	these	
15-4	1662-1672	satellites	
15-5	1673-1677	were	
15-6	1678-1688	previously	
15-7	1689-1697	launched	
15-8	1698-1700	on	
15-9	1701-1704	the	
15-10	1705-1710	Titan	
15-11	1711-1712	4	
15-12	1712-1713	,	
15-13	1714-1719	which	
15-14	1720-1723	has	
15-15	1724-1729	since	
15-16	1730-1734	been	
15-17	1735-1742	retired	
15-18	1742-1743	.	

#Text=The Delta 4 Heavy's published launch cost is $170 million, compared to the Titan 4's $400 million (1999 dollars).
16-1	1744-1747	The	
16-2	1748-1753	Delta	
16-3	1754-1755	4	
16-4	1756-1763	Heavy's	
16-5	1764-1773	published	
16-6	1774-1780	launch	
16-7	1781-1785	cost	
16-8	1786-1788	is	
16-9	1789-1793	$170	
16-10	1794-1801	million	
16-11	1801-1802	,	
16-12	1803-1811	compared	
16-13	1812-1814	to	
16-14	1815-1818	the	
16-15	1819-1824	Titan	
16-16	1825-1826	4	
16-17	1826-1827	'	
16-18	1827-1828	s	
16-19	1829-1833	$400	
16-20	1834-1841	million	
16-21	1842-1843	(	
16-22	1843-1847	1999	
16-23	1848-1855	dollars	
16-24	1855-1856	)	
16-25	1856-1857	.	

#Text=Delta 4 Heavy's maiden launch is a demonstration and will carry a dummy load and two nano-satellites.
17-1	1861-1866	Delta	
17-2	1867-1868	4	
17-3	1869-1876	Heavy's	
17-4	1877-1883	maiden	
17-5	1884-1890	launch	
17-6	1891-1893	is	
17-7	1894-1895	a	
17-8	1896-1909	demonstration	
17-9	1910-1913	and	
17-10	1914-1918	will	
17-11	1919-1924	carry	
17-12	1925-1926	a	
17-13	1927-1932	dummy	
17-14	1933-1937	load	
17-15	1938-1941	and	
17-16	1942-1945	two	
17-17	1946-1961	nano-satellites	
17-18	1961-1962	.	

#Text=The main payload, dubbed DemoSat is a 6020 kg (13271 lb) mass designed to simulate the dynamic and initial properties of a real satellite.
18-1	1963-1966	The	
18-2	1967-1971	main	
18-3	1972-1979	payload	
18-4	1979-1980	,	
18-5	1981-1987	dubbed	
18-6	1988-1995	DemoSat	
18-7	1996-1998	is	
18-8	1999-2000	a	
18-9	2001-2005	6020	
18-10	2006-2008	kg	
18-11	2009-2010	(	
18-12	2010-2015	13271	
18-13	2016-2018	lb	
18-14	2018-2019	)	
18-15	2020-2024	mass	
18-16	2025-2033	designed	
18-17	2034-2036	to	
18-18	2037-2045	simulate	
18-19	2046-2049	the	
18-20	2050-2057	dynamic	
18-21	2058-2061	and	
18-22	2062-2069	initial	
18-23	2070-2080	properties	
18-24	2081-2083	of	
18-25	2084-2085	a	
18-26	2086-2090	real	
18-27	2091-2100	satellite	
18-28	2100-2101	.	

#Text=Its design consists of large brass rods, intended to fully burn up on reentry.
19-1	2102-2105	Its	
19-2	2106-2112	design	
19-3	2113-2121	consists	
19-4	2122-2124	of	
19-5	2125-2130	large	
19-6	2131-2136	brass	
19-7	2137-2141	rods	
19-8	2141-2142	,	
19-9	2143-2151	intended	
19-10	2152-2154	to	
19-11	2155-2160	fully	
19-12	2161-2165	burn	
19-13	2166-2168	up	
19-14	2169-2171	on	
19-15	2172-2179	reentry	
19-16	2179-2180	.	

#Text=The two nano-satellites are part of the US Department of Defense Nanosat-2 Program, and built by students from New Mexico State University, Arizona State University, and the University of Colorado at Boulder.
20-1	2184-2187	The	
20-2	2188-2191	two	
20-3	2192-2207	nano-satellites	
20-4	2208-2211	are	
20-5	2212-2216	part	
20-6	2217-2219	of	
20-7	2220-2223	the	
20-8	2224-2226	US	
20-9	2227-2237	Department	
20-10	2238-2240	of	
20-11	2241-2248	Defense	
20-12	2249-2256	Nanosat	
20-13	2256-2257	-	
20-14	2257-2258	2	
20-15	2259-2266	Program	
20-16	2266-2267	,	
20-17	2268-2271	and	
20-18	2272-2277	built	
20-19	2278-2280	by	
20-20	2281-2289	students	
20-21	2290-2294	from	
20-22	2295-2298	New	
20-23	2299-2305	Mexico	
20-24	2306-2311	State	
20-25	2312-2322	University	
20-26	2322-2323	,	
20-27	2324-2331	Arizona	
20-28	2332-2337	State	
20-29	2338-2348	University	
20-30	2348-2349	,	
20-31	2350-2353	and	
20-32	2354-2357	the	
20-33	2358-2368	University	
20-34	2369-2371	of	
20-35	2372-2380	Colorado	
20-36	2381-2383	at	
20-37	2384-2391	Boulder	
20-38	2391-2392	.	
