#FORMAT=WebAnno TSV 3.3


#Text=Prime Minister Ariel Sharon considered a temporary coup d'état of the Israeli government with other members of the Israeli military shortly before the 1967 Arab-Israeli War, it has been revealed.
1-1	0-5	Prime	
4-20	631-633	or	
4-21	634-637	war	
4-22	637-638	.	

#Text=Many pro-war officials considered war inevitable and a delay only harmful to Israel.
5-1	639-643	Many	
5-2	644-651	pro-war	
5-3	652-661	officials	
5-4	662-672	considered	
5-5	673-676	war	
5-6	677-687	inevitable	
5-7	688-691	and	
5-8	692-693	a	
5-9	694-699	delay	
5-10	700-704	only	
5-11	705-712	harmful	
5-12	713-715	to	
5-13	716-722	Israel	
5-14	722-723	.	

#Text=Ariel Sharon was a Major General in the Israeli military during the war.
6-1	727-732	Ariel	
6-2	733-739	Sharon	
6-3	740-743	was	
6-4	744-745	a	
6-5	746-751	Major	
6-6	752-759	General	
6-7	760-762	in	
6-8	763-766	the	
6-9	767-774	Israeli	
6-10	775-783	military	
6-11	784-790	during	
6-12	791-794	the	
6-13	795-798	war	
6-14	798-799	.	

#Text=On May 28th, he advised the Chief of Staff Yitzhak Rabin that the cabinet could be detained and a coup declared.
7-1	800-802	On	
7-2	803-806	May	
7-3	807-811	28th	
7-4	811-812	,	
7-5	813-815	he	
7-6	816-823	advised	
7-7	824-827	the	
7-8	828-833	Chief	
7-9	834-836	of	
7-10	837-842	Staff	
7-11	843-850	Yitzhak	
7-12	851-856	Rabin	
7-13	857-861	that	
7-14	862-865	the	
7-15	866-873	cabinet	
7-16	874-879	could	
7-17	880-882	be	
7-18	883-891	detained	
7-19	892-895	and	
7-20	896-897	a	
7-21	898-902	coup	
7-22	903-911	declared	
7-23	911-912	.	

#Text=Sharon and others felt that the civilian government was unable to reach a necessary decision.
8-1	913-919	Sharon	
8-2	920-923	and	
8-3	924-930	others	
8-4	931-935	felt	
8-5	936-940	that	
8-6	941-944	the	
8-7	945-953	civilian	
8-8	954-964	government	
8-9	965-968	was	
8-10	969-975	unable	
8-11	976-978	to	
8-12	979-984	reach	
8-13	985-986	a	
8-14	987-996	necessary	
8-15	997-1005	decision	
8-16	1005-1006	.	

#Text=The military would make the decision the government would not, and begin war in the government's best interests.
9-1	1007-1010	The	
9-2	1011-1019	military	
9-3	1020-1025	would	
9-4	1026-1030	make	
9-5	1031-1034	the	
9-6	1035-1043	decision	
9-7	1044-1047	the	
9-8	1048-1058	government	
9-9	1059-1064	would	
9-10	1065-1068	not	
9-11	1068-1069	,	
9-12	1070-1073	and	
9-13	1074-1079	begin	
9-14	1080-1083	war	
9-15	1084-1086	in	
9-16	1087-1090	the	
9-17	1091-1103	government's	
9-18	1104-1108	best	
9-19	1109-1118	interests	
9-20	1118-1119	.	

#Text=He explains: "We often asked whether in the State of Israel there could arise a situation in which the army takes control.
10-1	1123-1125	He	
10-2	1126-1134	explains	
10-3	1134-1135	:	
10-4	1136-1137	"	
10-5	1137-1139	We	
10-6	1140-1145	often	
10-7	1146-1151	asked	
10-8	1152-1159	whether	
10-9	1160-1162	in	
10-10	1163-1166	the	
10-11	1167-1172	State	
10-12	1173-1175	of	
10-13	1176-1182	Israel	
10-14	1183-1188	there	
10-15	1189-1194	could	
10-16	1195-1200	arise	
10-17	1201-1202	a	
10-18	1203-1212	situation	
10-19	1213-1215	in	
10-20	1216-1221	which	
10-21	1222-1225	the	
10-22	1226-1230	army	
10-23	1231-1236	takes	
10-24	1237-1244	control	
10-25	1244-1245	.	

#Text=And I always said it was impossible, that this couldn't happen in the State of Israel."
11-1	1246-1249	And	
11-2	1250-1251	I	
11-3	1252-1258	always	
11-4	1259-1263	said	
11-5	1264-1266	it	
11-6	1267-1270	was	
11-7	1271-1281	impossible	
11-8	1281-1282	,	
11-9	1283-1287	that	
11-10	1288-1292	this	
11-11	1293-1301	couldn't	
11-12	1302-1308	happen	
11-13	1309-1311	in	
11-14	1312-1315	the	
11-15	1316-1321	State	
11-16	1322-1324	of	
11-17	1325-1331	Israel	
11-18	1331-1332	.	
11-19	1332-1333	"	

#Text="And then, after the meeting on May 28, I said to the chief of staff and others who were present, that there had arisen a situation in which this could happen, and that it would also be well accepted - that is to say, to seize control not in the framework of wanting to govern, but in the framework of making a decision, the fundamental decision, and that the army can make it without the government."
12-1	1337-1338	"	
12-2	1338-1341	And	
12-3	1342-1346	then	
12-4	1346-1347	,	
12-5	1348-1353	after	
12-6	1354-1357	the	
12-7	1358-1365	meeting	
12-8	1366-1368	on	
12-9	1369-1372	May	
12-10	1373-1375	28	
12-11	1375-1376	,	
12-12	1377-1378	I	
12-13	1379-1383	said	
12-14	1384-1386	to	
12-15	1387-1390	the	
12-16	1391-1396	chief	
12-17	1397-1399	of	
12-18	1400-1405	staff	
12-19	1406-1409	and	
12-20	1410-1416	others	
12-21	1417-1420	who	
12-22	1421-1425	were	
12-23	1426-1433	present	
12-24	1433-1434	,	
12-25	1435-1439	that	
12-26	1440-1445	there	
12-27	1446-1449	had	
12-28	1450-1456	arisen	
12-29	1457-1458	a	
12-30	1459-1468	situation	
12-31	1469-1471	in	
12-32	1472-1477	which	
12-33	1478-1482	this	
12-34	1483-1488	could	
12-35	1489-1495	happen	
12-36	1495-1496	,	
12-37	1497-1500	and	
12-38	1501-1505	that	
12-39	1506-1508	it	
12-40	1509-1514	would	
12-41	1515-1519	also	
12-42	1520-1522	be	
12-43	1523-1527	well	
12-44	1528-1536	accepted	
12-45	1537-1538	-	
12-46	1539-1543	that	
12-47	1544-1546	is	
12-48	1547-1549	to	
12-49	1550-1553	say	
12-50	1553-1554	,	
12-51	1555-1557	to	
12-52	1558-1563	seize	
12-53	1564-1571	control	
12-54	1572-1575	not	
12-55	1576-1578	in	
12-56	1579-1582	the	
12-57	1583-1592	framework	
12-58	1593-1595	of	
12-59	1596-1603	wanting	
12-60	1604-1606	to	
12-61	1607-1613	govern	
12-62	1613-1614	,	
12-63	1615-1618	but	
12-64	1619-1621	in	
12-65	1622-1625	the	
12-66	1626-1635	framework	
12-67	1636-1638	of	
12-68	1639-1645	making	
12-69	1646-1647	a	
12-70	1648-1656	decision	
12-71	1656-1657	,	
12-72	1658-1661	the	
12-73	1662-1673	fundamental	
12-74	1674-1682	decision	
12-75	1682-1683	,	
12-76	1684-1687	and	
12-77	1688-1692	that	
12-78	1693-1696	the	
12-79	1697-1701	army	
12-80	1702-1705	can	
12-81	1706-1710	make	
12-82	1711-1713	it	
12-83	1714-1721	without	
12-84	1722-1725	the	
12-85	1726-1736	government	
12-86	1736-1737	.	
12-87	1737-1738	"	

#Text="I don't remember if he agreed or not, but I think he also viewed it in this way."
13-1	1742-1743	"	
13-2	1743-1744	I	
13-3	1745-1750	don't	
13-4	1751-1759	remember	
13-5	1760-1762	if	
13-6	1763-1765	he	
13-7	1766-1772	agreed	
13-8	1773-1775	or	
13-9	1776-1779	not	
13-10	1779-1780	,	
13-11	1781-1784	but	
13-12	1785-1786	I	
13-13	1787-1792	think	
13-14	1793-1795	he	
13-15	1796-1800	also	
13-16	1801-1807	viewed	
13-17	1808-1810	it	
13-18	1811-1813	in	
13-19	1814-1818	this	
13-20	1819-1822	way	
13-21	1822-1823	.	
13-22	1823-1824	"	

#Text=Sharon stressed that no definite plan existed.
14-1	1828-1834	Sharon	
14-2	1835-1843	stressed	
14-3	1844-1848	that	
14-4	1849-1851	no	
14-5	1852-1860	definite	
14-6	1861-1865	plan	
14-7	1866-1873	existed	
14-8	1873-1874	.	

#Text=However, he defended giving it serious consideration, saying: "They the civilian government would have accepted it with a sense of relief.
15-1	1875-1882	However	
15-2	1882-1883	,	
15-3	1884-1886	he	
15-4	1887-1895	defended	
15-5	1896-1902	giving	
15-6	1903-1905	it	
15-7	1906-1913	serious	
15-8	1914-1927	consideration	
15-9	1927-1928	,	
15-10	1929-1935	saying	
15-11	1935-1936	:	
15-12	1937-1938	"	
15-13	1938-1942	They	
15-14	1943-1946	the	
15-15	1947-1955	civilian	
15-16	1956-1966	government	
15-17	1967-1972	would	
15-18	1973-1977	have	
15-19	1978-1986	accepted	
15-20	1987-1989	it	
15-21	1990-1994	with	
15-22	1995-1996	a	
15-23	1997-2002	sense	
15-24	2003-2005	of	
15-25	2006-2012	relief	
15-26	2012-2013	.	

#Text=That was my feeling."
16-1	2014-2018	That	
16-2	2019-2022	was	
16-3	2023-2025	my	
16-4	2026-2033	feeling	
16-5	2033-2034	.	
16-6	2034-2035	"	

#Text=Prime Minister Eshkol later decided in favor of war on June 5th.
17-1	2039-2044	Prime	
17-2	2045-2053	Minister	
17-3	2054-2060	Eshkol	
17-4	2061-2066	later	
17-5	2067-2074	decided	
17-6	2075-2077	in	
17-7	2078-2083	favor	
17-8	2084-2086	of	
17-9	2087-2090	war	
17-10	2091-2093	on	
17-11	2094-2098	June	
17-12	2099-2102	5th	
17-13	2102-2103	.	

#Text=Ariel Sharon served as a commander of the Southern Division.
18-1	2104-2109	Ariel	
18-2	2110-2116	Sharon	
18-3	2117-2123	served	
18-4	2124-2126	as	
18-5	2127-2128	a	
18-6	2129-2138	commander	
18-7	2139-2141	of	
18-8	2142-2145	the	
18-9	2146-2154	Southern	
18-10	2155-2163	Division	
18-11	2163-2164	.	

#Text=His comments may be found in full in Ma'arachot, a publication by the Israeli defense ministry.
19-1	2165-2168	His	
19-2	2169-2177	comments	
19-3	2178-2181	may	
19-4	2182-2184	be	
19-5	2185-2190	found	
19-6	2191-2193	in	
19-7	2194-2198	full	
19-8	2199-2201	in	
19-9	2202-2212	Ma'arachot	
19-10	2212-2213	,	
19-11	2214-2215	a	
19-12	2216-2227	publication	
19-13	2228-2230	by	
19-14	2231-2234	the	
19-15	2235-2242	Israeli	
19-16	2243-2250	defense	
19-17	2251-2259	ministry	
19-18	2259-2260	.	
