#FORMAT=WebAnno TSV 3.3


#Text=Four National Basketball Association players have been suspended indefinitely for their actions during a brawl at the end of the Friday, November 19th game between the Detroit Pistons and the Indiana Pacers.
1-1	0-4	Four	
12-21	1357-1365	Portland	
12-22	1366-1372	player	
12-23	1373-1378	Derek	
12-24	1379-1387	Anderson	
12-25	1387-1388	.	

#Text=He was suspended 5 times during the 2002-2003 season.
13-1	1389-1391	He	
13-2	1392-1395	was	
13-3	1396-1405	suspended	
13-4	1406-1407	5	
13-5	1408-1413	times	
13-6	1414-1420	during	
13-7	1421-1424	the	
13-8	1425-1429	2002	
13-9	1429-1430	-	
13-10	1430-1434	2003	
13-11	1435-1441	season	
13-12	1441-1442	.	
