#FORMAT=WebAnno TSV 3.3


#Text=A more efficient way to produce useable hydrogen has been demonstrated by researchers.
1-1	0-1	A	
8-14	1063-1064	"	
8-15	1064-1072	elevated	
8-16	1073-1079	levels	
8-17	1080-1082	of	
8-18	1083-1092	radiation	
8-19	1093-1101	required	
8-20	1102-1104	to	
8-21	1105-1117	sufficiently	
8-22	1118-1123	lower	
8-23	1124-1127	the	
8-24	1128-1134	atomic	
8-25	1135-1145	separation	
8-26	1146-1151	point	
8-27	1152-1154	is	
8-28	1155-1161	beyond	
8-29	1162-1165	the	
8-30	1166-1173	current	
8-31	1174-1186	capabilities	
8-32	1187-1189	of	
8-33	1190-1193	any	
8-34	1194-1200	recent	
8-35	1201-1207	cooler	
8-36	1207-1208	.	
8-37	1208-1209	"	

#Text=He does not believe that economically viable cooling technology will be available for at least four to six more years.
9-1	1210-1212	He	
9-2	1213-1217	does	
9-3	1218-1221	not	
9-4	1222-1229	believe	
9-5	1230-1234	that	
9-6	1235-1247	economically	
9-7	1248-1254	viable	
9-8	1255-1262	cooling	
9-9	1263-1273	technology	
9-10	1274-1278	will	
9-11	1279-1281	be	
9-12	1282-1291	available	
9-13	1292-1295	for	
9-14	1296-1298	at	
9-15	1299-1304	least	
9-16	1305-1309	four	
9-17	1310-1312	to	
9-18	1313-1316	six	
9-19	1317-1321	more	
9-20	1322-1327	years	
9-21	1327-1328	.	
