#FORMAT=WebAnno TSV 3.3


#Text=Serge Vohor, the Prime Minister of Vanuatu, recently came into spotlight as the newest battleground in the diplomatic war between the People's Republic of China and Taiwan, was accused of pushing the ambassador from the People's Republic of China, Mr.
1-1	0-5	Serge	
21-5	1742-1748	office	
21-6	1749-1752	for	
21-7	1753-1757	only	
21-8	1758-1762	four	
21-9	1763-1769	months	
21-10	1770-1773	and	
21-11	1774-1777	his	
21-12	1778-1786	position	
21-13	1787-1790	now	
21-14	1791-1796	seems	
21-15	1797-1807	precarious	
21-16	1807-1808	,	
21-17	1809-1814	after	
21-18	1815-1818	his	
21-19	1819-1825	secret	
21-20	1826-1831	visit	
21-21	1832-1834	to	
21-22	1835-1841	Taiwan	
21-23	1842-1846	last	
21-24	1847-1852	month	
21-25	1852-1853	.	

#Text=In this trip he signed a communique recognising the Republic of China (the official name of Taiwan) as a sovereign state.
22-1	1854-1856	In	
22-2	1857-1861	this	
22-3	1862-1866	trip	
22-4	1867-1869	he	
22-5	1870-1876	signed	
22-6	1877-1878	a	
22-7	1879-1889	communique	
22-8	1890-1901	recognising	
22-9	1902-1905	the	
22-10	1906-1914	Republic	
22-11	1915-1917	of	
22-12	1918-1923	China	
22-13	1924-1925	(	
22-14	1925-1928	the	
22-15	1929-1937	official	
22-16	1938-1942	name	
22-17	1943-1945	of	
22-18	1946-1952	Taiwan	
22-19	1952-1953	)	
22-20	1954-1956	as	
22-21	1957-1958	a	
22-22	1959-1968	sovereign	
22-23	1969-1974	state	
22-24	1974-1975	.	

#Text=But the country's council of ministers, which is Vanuatu's ruling body, revoked the deal and reiterated to Beijing its commitment to the one-China policy, which is a pre-requesite for maintaining formal diplomatic ties with the People's Republic of China, which sees Taiwan as its 23rd province and the Republic of China as a defunct entity.
23-1	1976-1979	But	
23-2	1980-1983	the	
23-3	1984-1993	country's	
23-4	1994-2001	council	
23-5	2002-2004	of	
23-6	2005-2014	ministers	
23-7	2014-2015	,	
23-8	2016-2021	which	
23-9	2022-2024	is	
23-10	2025-2034	Vanuatu's	
23-11	2035-2041	ruling	
23-12	2042-2046	body	
23-13	2046-2047	,	
23-14	2048-2055	revoked	
23-15	2056-2059	the	
23-16	2060-2064	deal	
23-17	2065-2068	and	
23-18	2069-2079	reiterated	
23-19	2080-2082	to	
23-20	2083-2090	Beijing	
23-21	2091-2094	its	
23-22	2095-2105	commitment	
23-23	2106-2108	to	
23-24	2109-2112	the	
23-25	2113-2122	one-China	
23-26	2123-2129	policy	
23-27	2129-2130	,	
23-28	2131-2136	which	
23-29	2137-2139	is	
23-30	2140-2141	a	
23-31	2142-2155	pre-requesite	
23-32	2156-2159	for	
23-33	2160-2171	maintaining	
23-34	2172-2178	formal	
23-35	2179-2189	diplomatic	
23-36	2190-2194	ties	
23-37	2195-2199	with	
23-38	2200-2203	the	
23-39	2204-2212	People's	
23-40	2213-2221	Republic	
23-41	2222-2224	of	
23-42	2225-2230	China	
23-43	2230-2231	,	
23-44	2232-2237	which	
23-45	2238-2242	sees	
23-46	2243-2249	Taiwan	
23-47	2250-2252	as	
23-48	2253-2256	its	
23-49	2257-2261	23rd	
23-50	2262-2270	province	
23-51	2271-2274	and	
23-52	2275-2278	the	
23-53	2279-2287	Republic	
23-54	2288-2290	of	
23-55	2291-2296	China	
23-56	2297-2299	as	
23-57	2300-2301	a	
23-58	2302-2309	defunct	
23-59	2310-2316	entity	
23-60	2316-2317	.	

#Text=Currently the Republic of China maintains formal diplomatic relationships with 27 countries, including Vanuatu.
24-1	2318-2327	Currently	
24-2	2328-2331	the	
24-3	2332-2340	Republic	
24-4	2341-2343	of	
24-5	2344-2349	China	
24-6	2350-2359	maintains	
24-7	2360-2366	formal	
24-8	2367-2377	diplomatic	
24-9	2378-2391	relationships	
24-10	2392-2396	with	
24-11	2397-2399	27	
24-12	2400-2409	countries	
24-13	2409-2410	,	
24-14	2411-2420	including	
24-15	2421-2428	Vanuatu	
24-16	2428-2429	.	
