#FORMAT=WebAnno TSV 3.3


#Text=In the United Kingdom, the music video for this Christmas' remake of the charity single Do They Know It's Christmas?
1-1	0-2	In	
5-16	526-529	has	
5-17	530-534	been	
5-18	535-541	remade	
5-19	542-544	by	
5-20	545-549	over	
5-21	550-552	50	
5-22	553-555	of	
5-23	556-563	today's	
5-24	564-568	best	
5-25	569-576	selling	
5-26	577-584	artists	
5-27	584-585	,	
5-28	586-595	including	
5-29	596-604	Coldplay	
5-30	605-613	frontman	
5-31	614-619	Chris	
5-32	620-626	Martin	
5-33	626-627	,	
5-34	628-634	Robbie	
5-35	635-643	Williams	
5-36	643-644	,	
5-37	645-649	Bono	
5-38	649-650	,	
5-39	651-657	Justin	
5-40	658-665	Hawkins	
5-41	666-668	of	
5-42	669-672	The	
5-43	673-681	Darkness	
5-44	682-685	and	
5-45	686-690	Dido	
5-46	690-691	.	

#Text=The song, which is in aid of charity, is already tipped to be the Christmas No. 1 in the UK and Ireland.
6-1	693-696	The	
6-2	697-701	song	
6-3	701-702	,	
6-4	703-708	which	
6-5	709-711	is	
6-6	712-714	in	
6-7	715-718	aid	
6-8	719-721	of	
6-9	722-729	charity	
6-10	729-730	,	
6-11	731-733	is	
6-12	734-741	already	
6-13	742-748	tipped	
6-14	749-751	to	
6-15	752-754	be	
6-16	755-758	the	
6-17	759-768	Christmas	
6-18	769-771	No	
6-19	771-772	.	
6-20	773-774	1	
6-21	775-777	in	
6-22	778-781	the	
6-23	782-784	UK	
6-24	785-788	and	
6-25	789-796	Ireland	
6-26	796-797	.	

#Text=The song will also be launched as a charity mobile phone ringtone to raise funds for Sudan's troubled Darfur region.
7-1	798-801	The	
7-2	802-806	song	
7-3	807-811	will	
7-4	812-816	also	
7-5	817-819	be	
7-6	820-828	launched	
7-7	829-831	as	
7-8	832-833	a	
7-9	834-841	charity	
7-10	842-848	mobile	
7-11	849-854	phone	
7-12	855-863	ringtone	
7-13	864-866	to	
7-14	867-872	raise	
7-15	873-878	funds	
7-16	879-882	for	
7-17	883-890	Sudan's	
7-18	891-899	troubled	
7-19	900-906	Darfur	
7-20	907-913	region	
7-21	913-914	.	

#Text=Mycokemusic.com said it was going to put the track on its website from Thursday with all profits to be donated to charity.
8-1	915-930	Mycokemusic.com	
8-2	931-935	said	
8-3	936-938	it	
8-4	939-942	was	
8-5	943-948	going	
8-6	949-951	to	
8-7	952-955	put	
8-8	956-959	the	
8-9	960-965	track	
8-10	966-968	on	
8-11	969-972	its	
8-12	973-980	website	
8-13	981-985	from	
8-14	986-994	Thursday	
8-15	995-999	with	
8-16	1000-1003	all	
8-17	1004-1011	profits	
8-18	1012-1014	to	
8-19	1015-1017	be	
8-20	1018-1025	donated	
8-21	1026-1028	to	
8-22	1029-1036	charity	
8-23	1036-1037	.	

#Text=The single will be available to buy in shops from the 29 November.
9-1	1038-1041	The	
9-2	1042-1048	single	
9-3	1049-1053	will	
9-4	1054-1056	be	
9-5	1057-1066	available	
9-6	1067-1069	to	
9-7	1070-1073	buy	
9-8	1074-1076	in	
9-9	1077-1082	shops	
9-10	1083-1087	from	
9-11	1088-1091	the	
9-12	1092-1094	29	
9-13	1095-1103	November	
9-14	1103-1104	.	
